#
# No. Freq (Hz)		Measurement	Observed Passband	Measurement	Uncertainty	Units		Uncertainty	Units	Reference Code
#
   66    4.28E+14 	2.54E-02	R (Johnson) 		12.60 	+/- 0.07 	mag 	 	+/- 1.69E-03 	Jy 	1978ApJS...38..267O
   67    4.28E+14 	2.27E-02	R (Johnson) 		12.72 	+/- 0.05 	mag 	 	+/- 1.07E-03 	Jy 	1978ApJS...38..267O
   68    4.28E+14 	3.10E-02	R (Johnson) 		12.38 	+/- 0.03 	mag 	 	+/- 8.70E-04 	Jy 	1983PASP...95..724S
   69    4.28E+14 	3.05E-02	R (Johnson) 		12.40 	+/- 0.03 	mag 	 	+/- 8.54E-04 	Jy 	1983PASP...95..724S
   70    4.28E+14 	2.70E-02	R (Johnson) 		12.53 	+/- 0.07 	mag 	 	+/- 1.80E-03 	Jy 	1978ApJ...224...22O
   71    4.28E+14 	2.38E-02	R (Johnson) 		12.67 	+/- 0.05 	mag 	 	+/- 1.12E-03 	Jy 	1978ApJ...224...22O
   72    3.33E+14 	4.15E-02	I (Johnson) 		11.83 	+/- 0.01 	mag 	 	+/- 3.84E-04 	Jy 	1980ApJ...241...74M
   73    3.33E+14 	3.12E-02	I (Johnson) 		12.14 	+/- 0.01 	mag 	 	+/- 2.89E-04 	Jy 	1980ApJ...241...74M
   74    3.33E+14 	2.90E-02	I (Johnson) 		12.22 	+/- 0.01 	mag 	 	+/- 2.68E-04 	Jy 	1980ApJ...241...74M
   75    3.33E+14 	2.77E-02	I (Johnson) 		12.27 	+/- 0.01 	mag 	 	+/- 2.56E-04 	Jy 	1980ApJ...241...74M
   76    3.33E+14 	2.98E-02	I (Johnson) 		12.19 	+/- 0.01 	mag 	 	+/- 2.76E-04 	Jy 	1981AJ.....86.1585H
   77    3.33E+14 	4.08E-02	I (Johnson) 		11.85 	+/- 0.03 	mag 	 	+/- 1.14E-03 	Jy 	1983PASP...95..724S
   78    3.33E+14 	4.04E-02	I (Johnson) 		11.86 	+/- 0.03 	mag 	 	+/- 1.13E-03 	Jy 	1983PASP...95..724S
   79    3.33E+14 	5.13E-02	I (Johnson) 		11.60 	+/- 0.02 	mag 	 	+/- 9.54E-04 	Jy 	1980ApJ...241...74M
   80    2.40E+14 	5.26E-02	J_K20 (2MASS)	 	11.202 	+/- 0.020 	mag 	 	+/- 9.78E-04 	Jy 	20032MASX.C.......:
   81    2.40E+14 	5.83E-02	J_total (2MASS) 	11.091 	+/- 0.021 	mag 	 	+/- 1.14E-03 	Jy 	20032MASX.C.......:
   82    2.40E+14 	3.47E-02	J_14arcsec (2MASS) 	11.654 	+/- 0.006 	mag 	 	+/- 1.92E-04 	Jy 	20032MASX.C.......:
   83    2.40E+14 	8.28E-02	J (MKO) 		10.66 	+/- 0.04 	mag 	 	+/- 3.11E-03 	Jy 	1983MNRAS.202..397I
   84    2.40E+14 	5.13E-02	J (MKO) 		11.18 	+/- 0.04 	mag 	 	+/- 1.92E-03 	Jy 	1983MNRAS.202..397I
   85    2.40E+14 	4.70E-02	J 			11.26 	+/- 0.15 	mag 	 	+/- 6.96E-03 	Jy 	1978ApJS...38..267O
   86    2.40E+14 	4.25E-02	J (Mt. Lemmon) 		42.5 	+/- 1.0 	mJy 	 	+/- 1.00E-03 	Jy 	1983PASP...95..724S
   87    2.40E+14 	4.29E-02	J 			11.36 	+/- 0.07 	mag 	 	+/- 2.85E-03 	Jy 	1978ApJS...38..267O
   88    2.40E+14 	2.56E-02	J 			25.6 	+/- 5 % 	mJy 	 	+/- 1.28E-03 	Jy 	1983ApJ...272..400H
   89    2.40E+14 	4.33E-02	J (Mt. Lemmon) 		11.35 	+/- 0.07 	mag 	 	+/- 2.88E-03 	Jy 	1978ApJ...224...22O
   90    2.40E+14 	4.50E-02	1.25 microns 		0.045 	+/- 0.003 	Jy 	 	+/- 3.00E-03 	Jy 	1976PASP...88..870J
   91    2.38E+14 	3.37E-02	J (Johnson) 		0.034 	+/- 0.0011 	Jy 	 	+/- 1.10E-03 	Jy 	1981MNRAS.197..627B
   92    2.38E+14 	7.00E-02	J (Johnson) 		10.90 	+/- 0.08 	mag 	 	+/- 5.35E-03 	Jy 	1976ApJ...207..367A
   93    1.87E+14 	8.31E-02	H (Johnson) 		10.28 	+/- 0.07 	mag 	 	+/- 5.53E-03 	Jy 	1976ApJ...207..367A
   94    1.87E+14 	6.13E-02	H (Johnson) 		10.61 	+/- 0.04 	mag 	 	+/- 2.30E-03 	Jy 	1976ApJ...207..367A
   95    1.84E+14 	3.11E-02	H 			31.1 	+/- 5 % 	mJy 	 	+/- 1.55E-03 	Jy 	1983ApJ...272..400H
   96    1.84E+14 	5.10E-02	1.65 microns 		0.051 	+/- 0.003 	Jy 	 	+/- 3.00E-03 	Jy 	1976PASP...88..870J
   97    1.82E+14 	6.45E-02	H_K20 (2MASS) 		10.502 	+/- 0.031 	mag 	 	+/- 1.87E-03 	Jy 	20032MASX.C.......:
   98    1.82E+14 	7.12E-02	H_total (2MASS) 	10.394 	+/- 0.027 	mag 	 	+/- 1.79E-03 	Jy 	20032MASX.C.......:
   99    1.82E+14 	4.17E-02	H_14arcsec (2MASS) 	10.975 	+/- 0.008 	mag 	 	+/- 3.09E-04 	Jy 	20032MASX.C.......:
  100    1.82E+14 	6.02E-02	H (Mt. Lemmon) 		60.2 	+/- 0.8 	mJy 	 	+/- 8.00E-04 	Jy 	1983PASP...95..724S
  101    1.82E+14 	5.10E-02	H (Mt. Lemmon) 		10.72 	+/- 0.05 	mag 	 	+/- 2.40E-03 	Jy 	1978ApJ...224...22O
  102    1.82E+14 	9.98E-02	H (MKO) 		9.98 	+/- 0.04 	mag 	 	+/- 3.75E-03 	Jy 	1983MNRAS.202..397I
  103    1.82E+14 	7.23E-02	H (MKO) 		10.33 	+/- 0.06 	mag 	 	+/- 4.11E-03 	Jy 	1983MNRAS.202..397I
  104    1.82E+14 	4.96E-02	H 			10.75 	+/- 0.06 	mag 	 	+/- 2.82E-03 	Jy 	1978ApJS...38..267O
