# INPUT : tev01_wrbr_hfreb2_pca_5_23_32
# LabelHelper : tp
#   xtt         xtt1       xtt2       dtt        rt       ert          rx       erx      nx       rxmin        rxmax
# 
  259072.99  258150.07  259995.92   1845.8     1.7782    0.3152     64.2323    0.5939     7    63.2102      65.3472
  260901.04  260001.23  261800.86   1799.6     2.1655    0.3436     62.6862    1.4201    56    59.9046      66.0220
  262699.98  261800.12  263599.83   1799.7     2.3941    0.3310     63.6306    1.3356    41    60.8592      66.3801
  264495.02  263605.15  265384.90   1779.8     3.0049    0.3443      0.0100    0.0001     0     0.0100       0.0100
  266423.82  265524.09  267323.54   1799.5     2.2957    0.3446     70.6131    3.8507    56    64.3361      79.5034
  268222.58  267323.15  269122.00   1798.8     1.7076    0.3810     66.8300    1.0548    47    64.7896      69.2309
  269190.52  269120.14  269260.89    140.8     1.9695    1.1584      0.0100    0.0001     0     0.0100       0.0100
  272705.18  271865.18  273545.18   1680.0     1.1462    0.2563     51.0124    2.0286    49    47.5226      55.3615
  274516.13  273676.13  275356.13   1680.0     1.3549    0.2285     53.8904    0.0773     2    53.8131      53.9678
  276426.43  275586.43  277266.43   1680.0     1.1157    0.2057      0.0100    0.0001     0     0.0100       0.0100
  278115.55  277275.55  278955.55   1680.0     0.8270    0.1875     38.6973    0.7536    17    37.6788      40.1107
  283652.93  282812.93  284492.93   1680.0     0.7965    0.1565     42.1989    2.5265    36    37.7645      46.5761
  285343.78  284503.78  286183.78   1680.0     0.9150    0.1590     40.0978    0.8656    23    38.1603      41.6150
  287036.35  286196.35  287876.35   1680.0     0.9860    0.1666      0.0100    0.0001     0     0.0100       0.0100
  288728.93  287888.93  289568.93   1680.0     0.9789    0.1759     37.8840    1.1257    36    35.6633      40.3532
  290437.92  289597.92  291277.92   1680.0     0.5465    0.1801     38.7953    1.2985    48    35.9764      41.7135
  339805.67  338906.25  340705.10   1798.8     1.4025    0.3630     51.8956    1.1192    23    49.0394      53.9196
  341604.26  340705.35  342503.16   1797.8     1.5959    0.3513     51.6143    1.0044    56    49.1830      53.7137
  343402.93  342502.95  344302.92   1800.0     1.4723    0.3636     52.0662    0.9463    25    50.2667      53.7487
  345201.87  344301.88  346101.85   1800.0     1.9178    0.3787     58.5714    0.0007     1    58.5714      58.5714
  347001.24  346102.42  347900.06   1797.6     2.5884    0.3571     64.5754    5.2085    56    56.5688      76.4047
  348808.46  347909.47  349707.45   1798.0     3.1515    0.3720     82.9246    3.0544    35    75.2431      88.0818
  350612.15  349712.94  351511.36   1798.4     2.9881    0.3412     81.8816    0.2706     3    81.6000      82.2467
  352411.00  351511.14  353310.85   1799.7     3.3646    0.3460     77.7113    4.0922    56    70.4392      85.2085
  354209.24  353309.56  355108.93   1799.4     3.1369    0.3701     73.0546    1.3673    45    68.6038      75.4368
  355350.93  355107.93  355593.93    486.0     2.4756    0.6853      0.0100    0.0001     0     0.0100       0.0100
  362310.62  361470.62  363150.62   1680.0     2.6545    0.2161      0.0100    0.0001     0     0.0100       0.0100
  363998.88  363158.88  364838.88   1680.0     1.8416    0.1975      0.0100    0.0001     0     0.0100       0.0100
  365687.14  364847.14  366527.14   1680.0     1.3460    0.1917      0.0100    0.0001     0     0.0100       0.0100
  367378.85  366538.85  368218.85   1680.0     1.0303    0.1800      0.0100    0.0001     0     0.0100       0.0100
  369063.65  368223.65  369903.65   1680.0     0.9125    0.1820     39.7215    1.3947    40    35.9606      42.6191
  370751.90  369911.90  371591.90   1680.0     1.3214    0.1839     43.5528    1.4748    37    41.0939      46.5503
  372444.48  371604.48  373284.48   1680.0     1.3392    0.1815      0.0100    0.0001     0     0.0100       0.0100
  374138.78  373298.78  374978.78   1680.0     1.4852    0.1874     53.1858    1.1745    20    51.2756      55.9746
